trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,254,A035,288,8.5,1,7,0.0465;0.1052;0.1782;0.2263;0.2146;0.1491;0.0801
B1,A035,275,M27204,309,8.5,3,7,0.1374;0.2425;0.2854;0.2192;0.1155
B2,M27204,296,A035,330,8.5,1,7,0.0495;0.1213;0.2058;0.2465;0.2046;0.1211;0.0512
B3,A035,313,M27204,347,8.5,2,8,0.0919;0.1501;0.1967;0.2090;0.1725;0.1155;0.0643
B4,M27204,330,A035,364,8.5,2,8,0.0739;0.1411;0.2030;0.2251;0.1838;0.1158;0.0573
B5,A035,347,M27204,381,8.5,2,8,0.0660;0.1222;0.1813;0.2119;0.1959;0.1402;0.0825
B6,M27204,368,A035,402,8.5,1,7,0.0620;0.1285;0.1996;0.2319;0.1954;0.1232;0.0594
B7,A035,389,M27204,423,8.5,2,7,0.0958;0.1987;0.2709;0.2399;0.1390;0.0557
B8,M27204,410,A035,444,8.5,1,7,0.0672;0.1313;0.1953;0.2243;0.1911;0.1261;0.0647
B9,A035,429,M27204,463,8.5,1,7,0.0586;0.1133;0.1766;0.2137;0.2037;0.1475;0.0866
B10,M27204,448,A035,482,8.5,1,7,0.0538;0.1202;0.1980;0.2363;0.2037;0.1280;0.0600
B11,A035,467,M27204,501,8.5,2,6,0.1194;0.2268;0.2888;0.2355;0.1295
B12,M27204,488,A035,522,8.5,4,10,0.0883;0.1458;0.1939;0.2096;0.1758;0.1195;0.0671
B13,A035,509,M27204,543,8.5,2,6,0.1105;0.2214;0.2927;0.2420;0.1334
B14,M27204,530,A035,564,8.5,2,8,0.0733;0.1342;0.1915;0.2175;0.1866;0.1278;0.0691
B15,A035,549,M27204,583,8.5,2,7,0.1149;0.2166;0.2722;0.2229;0.1246;0.0488
B16,M27204,568,A035,602,8.5,1,7,0.0651;0.1272;0.1921;0.2225;0.1941;0.1309;0.0681
B17,A035,587,M27204,621,8.5,3,8,0.0965;0.2047;0.2791;0.2390;0.1316;0.0491
B18,M27204,606,A035,640,8.5,1,8,0.0457;0.0894;0.1406;0.1809;0.1945;0.1652;0.1158;0.0679
B19,A035,625,M27204,659,8.5,2,8,0.0730;0.1474;0.2159;0.2333;0.1810;0.1037;0.0457
B20,M27204,644,A035,678,8.5,2,8,0.0792;0.1474;0.2061;0.2234;0.1788;0.1112;0.0539
B21,A035,663,M27204,697,8.5,1,7,0.0559;0.1172;0.1877;0.2256;0.2036;0.1379;0.0721
B22,M27204,682,A035,716,8.5,2,8,0.0665;0.1411;0.2149;0.2385;0.1868;0.1065;0.0457
B23,A035,701,M27204,735,8.5,2,7,0.0512;0.1457;0.2535;0.2796;0.1887;0.0813
B24,M27204,720,A035,754,8.5,1,7,0.0596;0.1132;0.1748;0.2118;0.2026;0.1496;0.0884
B25,A035,737,M27204,771,8.5,2,7,0.0959;0.1736;0.2320;0.2333;0.1702;0.0950
B26,M27204,754,A035,788,8.5,2,7,0.0653;0.1588;0.2536;0.2648;0.1777;0.0798
B27,A035,771,M27204,805,8.5,2,8,0.0750;0.1317;0.1852;0.2100;0.1872;0.1332;0.0777
B28,M27204,790,A035,824,8.5,2,6,0.0969;0.2126;0.2969;0.2544;0.1392
B29,A035,809,M27204,843,8.5,2,10,0.0385;0.0721;0.1149;0.1538;0.1745;0.1671;0.1335;0.0918;0.0538
B30,M27204,828,A035,862,8.5,1,8,0.0497;0.1010;0.1631;0.2036;0.1997;0.1508;0.0891;0.0430
B31,A035,849,M27204,883,8.5,2,7,0.0841;0.1644;0.2337;0.2412;0.1789;0.0977
B32,M27204,870,A035,904,8.5,1,7,0.0470;0.1149;0.1977;0.2424;0.2105;0.1294;0.0581
B33,A035,891,M27204,925,8.5,2,7,0.1105;0.1889;0.2414;0.2255;0.1534;0.0803
B34,M27204,912,A035,946,8.5,2,7,0.0606;0.1621;0.2676;0.2735;0.1696;0.0666
B35,A035,933,M27204,967,8.5,2,7,0.0666;0.1652;0.2632;0.2666;0.1685;0.0699
B36,M27204,954,A035,988,8.5,2,8,0.0807;0.1402;0.1933;0.2137;0.1811;0.1231;0.0679
B37,A035,973,M27204,1007,8.5,2,7,0.1101;0.1984;0.2559;0.2282;0.1423;0.0651
B38,M27204,992,A035,1026,8.5,1,8,0.0493;0.0956;0.1526;0.1925;0.1959;0.1569;0.1028;0.0544
B39,A035,1011,M27204,1045,8.5,2,6,0.0862;0.2125;0.3099;0.2608;0.1306
B40,M27204,1032,A035,1066,8.5,2,7,0.0749;0.1898;0.2848;0.2602;0.1415;0.0488
B41,A035,1053,M27204,1087,8.5,1,7,0.0596;0.1212;0.1907;0.2255;0.2000;0.1343;0.0687
B42,M27204,1074,A035,1108,8.5,3,10,0.0565;0.0979;0.1454;0.1792;0.1850;0.1564;0.1113;0.0683
B43,A035,1093,M27204,1127,8.5,1,8,0.0541;0.1069;0.1669;0.2038;0.1960;0.1456;0.0855;0.0412
B44,M27204,1112,A035,1146,8.5,2,6,0.1276;0.2339;0.2855;0.2280;0.1250
B45,A035,1131,M27204,1165,8.5,2,8,0.0878;0.1430;0.1897;0.2068;0.1767;0.1237;0.0723
B46,M27204,1150,A035,1184,8.5,3,9,0.0465;0.1034;0.1750;0.2244;0.2154;0.1516;0.0837
B47,A035,1169,M27204,1203,8.5,1,8,0.0450;0.0980;0.1622;0.2064;0.2038;0.1533;0.0894;0.0419
B48,M27204,1188,A035,1222,8.5,1,7,0.0570;0.1257;0.2014;0.2371;0.1989;0.1231;0.0568
B49,A035,1205,M27204,1239,8.5,1,7,0.0466;0.1033;0.1739;0.2230;0.2146;0.1535;0.0851
B50,M27204,1222,A035,1256,8.5,2,7,0.0754;0.1516;0.2256;0.2460;0.1916;0.1098
B51,A035,1239,M27204,1273,8.5,2,6,0.1110;0.2334;0.3029;0.2366;0.1161
B52,M27204,1256,A035,1290,8.5,1,7,0.0468;0.1187;0.2057;0.2493;0.2070;0.1216;0.0509
B53,A035,1277,M27204,1311,8.5,2,7,0.0541;0.1319;0.2246;0.2645;0.2089;0.1160
B54,M27204,1298,A035,1332,8.5,2,7,0.0942;0.1695;0.2283;0.2324;0.1749;0.1007
B55,A035,1319,M27204,1353,8.5,1,7,0.0602;0.1221;0.1910;0.2257;0.1994;0.1334;0.0682
B56,M27204,1336,A035,1370,8.5,1,7,0.0494;0.1142;0.1923;0.2358;0.2086;0.1348;0.0649
B57,A035,1353,M27204,1387,8.5,1,7,0.0478;0.1125;0.1916;0.2364;0.2106;0.1360;0.0651
B58,M27204,1370,A035,1404,8.5,2,7,0.0608;0.1546;0.2534;0.2695;0.1811;0.0806
