trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,242,A035,276,8.5,2,8,0.0747;0.1295;0.1809;0.2068;0.1881;0.1371;0.0829
B1,A035,261,M27204,295,8.5,1,8,0.0576;0.1090;0.1651;0.1985;0.1916;0.1453;0.0883;0.0446
B2,M27204,280,A035,314,8.5,2,8,0.0681;0.1255;0.1837;0.2128;0.1931;0.1372;0.0796
B3,A035,299,M27204,333,8.5,1,8,0.0451;0.0973;0.1603;0.2043;0.2028;0.1549;0.0917;0.0436
B4,M27204,320,A035,354,8.5,2,9,0.0593;0.1129;0.1701;0.2024;0.1914;0.1404;0.0830;0.0405
B5,A035,341,M27204,375,8.5,1,8,0.0424;0.0907;0.1488;0.1938;0.2013;0.1627;0.1055;0.0548
B6,M27204,360,A035,394,8.5,1,7,0.0442;0.1118;0.1979;0.2462;0.2138;0.1293;0.0568
B7,A035,379,M27204,413,8.5,1,7,0.0448;0.1070;0.1869;0.2357;0.2152;0.1418;0.0686
B8,M27204,398,A035,432,8.5,1,7,0.0563;0.1200;0.1929;0.2295;0.2023;0.1329;0.0661
B9,A035,417,M27204,451,8.5,2,7,0.1191;0.2074;0.2559;0.2206;0.1349;0.0621
B10,M27204,434,A035,468,8.5,2,7,0.0570;0.1386;0.2302;0.2642;0.2024;0.1076
B11,A035,451,M27204,485,8.5,1,7,0.0735;0.1323;0.1875;0.2129;0.1877;0.1314;0.0747
B12,M27204,468,A035,502,8.5,2,9,0.0661;0.1164;0.1675;0.1941;0.1844;0.1392;0.0865;0.0458
B13,A035,489,M27204,523,8.5,1,7,0.0686;0.1317;0.1931;0.2215;0.1902;0.1277;0.0672
B14,M27204,510,A035,544,8.5,2,8,0.0691;0.1254;0.1827;0.2115;0.1929;0.1374;0.0810
B15,A035,531,M27204,565,8.5,2,9,0.0524;0.1022;0.1608;0.1995;0.1960;0.1509;0.0920;0.0462
B16,M27204,552,A035,586,8.5,2,7,0.1156;0.2000;0.2492;0.2226;0.1431;0.0695
B17,A035,573,M27204,607,8.5,1,8,0.0458;0.0945;0.1532;0.1956;0.1992;0.1582;0.1014;0.0521
B18,M27204,594,A035,628,8.5,2,7,0.0686;0.1493;0.2313;0.2540;0.1923;0.1045
B19,A035,611,M27204,645,8.5,2,9,0.0411;0.0936;0.1591;0.2075;0.2082;0.1577;0.0909;0.0419
B20,M27204,628,A035,662,8.5,2,10,0.0467;0.0858;0.1329;0.1683;0.1821;0.1583;0.1168;0.0711;0.0380
B21,A035,645,M27204,679,8.5,2,7,0.1098;0.1905;0.2443;0.2268;0.1521;0.0765
B22,M27204,666,A035,700,8.5,2,7,0.0639;0.1608;0.2597;0.2680;0.1738;0.0738
B23,A035,687,M27204,721,8.5,3,10,0.0521;0.0985;0.1546;0.1927;0.1941;0.1539;0.1006;0.0535
B24,M27204,708,A035,742,8.5,2,8,0.0918;0.1458;0.1892;0.2047;0.1741;0.1223;0.0721
B25,A035,727,M27204,761,8.5,2,7,0.0757;0.1572;0.2353;0.2488;0.1846;0.0984
B26,M27204,746,A035,780,8.5,3,8,0.0863;0.1855;0.2614;0.2479;0.1533;0.0656
B27,A035,765,M27204,799,8.5,2,7,0.0789;0.1767;0.2597;0.2546;0.1609;0.0692
B28,M27204,782,A035,816,8.5,2,6,0.1154;0.2345;0.3002;0.2337;0.1162
B29,A035,799,M27204,833,8.5,2,7,0.1218;0.2200;0.2682;0.2178;0.1225;0.0497
B30,M27204,816,A035,850,8.5,1,7,0.0444;0.1109;0.1958;0.2435;0.2136;0.1324;0.0594
B31,A035,833,M27204,867,8.5,2,10,0.0495;0.0873;0.1330;0.1652;0.1787;0.1560;0.1165;0.0732;0.0406
