trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,241,A035,275,8.5,3,11,0.0418;0.0726;0.1097;0.1444;0.1645;0.1635;0.1379;0.1009;0.0647
B1,A035,246,M27204,280,8.5,1,7,0.0630;0.1231;0.1865;0.2191;0.1970;0.1363;0.0750
B2,M27204,251,A035,285,8.5,2,8,0.0743;0.1412;0.2030;0.2247;0.1836;0.1158;0.0574
B3,A035,256,M27204,290,8.5,2,6,0.0806;0.1989;0.2999;0.2726;0.1480
B4,M27204,261,A035,295,8.5,2,8,0.0537;0.1109;0.1792;0.2204;0.2077;0.1463;0.0818
B5,A035,266,M27204,300,8.5,2,7,0.0925;0.1917;0.2645;0.2431;0.1466;0.0616
B6,M27204,271,A035,305,8.5,1,7,0.0594;0.1202;0.1893;0.2241;0.2003;0.1355;0.0712
B7,A035,276,M27204,310,8.5,3,8,0.0760;0.1573;0.2346;0.2482;0.1848;0.0991
B8,M27204,281,A035,315,8.5,2,9,0.0629;0.1124;0.1625;0.1922;0.1856;0.1436;0.0915;0.0493
B9,A035,286,M27204,320,8.5,2,7,0.1069;0.1823;0.2366;0.2274;0.1598;0.0870
B10,M27204,291,A035,325,8.5,2,8,0.0816;0.1410;0.1934;0.2132;0.1805;0.1226;0.0677
B11,A035,296,M27204,330,8.5,2,6,0.1205;0.2366;0.2964;0.2301;0.1164
B12,M27204,301,A035,335,8.5,3,9,0.0650;0.1219;0.1817;0.2128;0.1968;0.1401;0.0817
B13,A035,306,M27204,340,8.5,1,8,0.0571;0.1078;0.1633;0.1979;0.1917;0.1463;0.0900;0.0459
B14,M27204,311,A035,345,8.5,1,7,0.0601;0.1211;0.1896;0.2246;0.1997;0.1348;0.0701
B15,A035,316,M27204,350,8.5,3,8,0.1034;0.1787;0.2333;0.2291;0.1639;0.0916
B16,M27204,321,A035,355,8.5,1,7,0.0722;0.1313;0.1868;0.2133;0.1889;0.1322;0.0753
B17,A035,326,M27204,360,8.5,2,7,0.0474;0.1398;0.2544;0.2845;0.1925;0.0814
B18,M27204,331,A035,365,8.5,3,8,0.0974;0.1943;0.2620;0.2386;0.1450;0.0627
B19,A035,336,M27204,370,8.5,1,8,0.0530;0.1027;0.1606;0.1987;0.1950;0.1506;0.0927;0.0467
B20,M27204,341,A035,375,8.5,2,7,0.1105;0.1990;0.2560;0.2277;0.1419;0.0649
B21,A035,346,M27204,380,8.5,1,8,0.0449;0.0935;0.1516;0.1955;0.1994;0.1595;0.1027;0.0529
B22,M27204,351,A035,385,8.5,1,8,0.0530;0.1057;0.1666;0.2049;0.1969;0.1463;0.0856;0.0410
B23,A035,356,M27204,390,8.5,2,8,0.0635;0.1277;0.1951;0.2263;0.1946;0.1278;0.0650
B24,M27204,360,A035,394,8.5,2,7,0.0801;0.1589;0.2302;0.2432;0.1842;0.1034
B25,A035,364,M27204,398,8.5,3,8,0.0683;0.1572;0.2463;0.2594;0.1816;0.0872
B26,M27204,368,A035,402,8.5,2,6,0.1065;0.2170;0.2909;0.2470;0.1386
B27,A035,372,M27204,406,8.5,2,9,0.0460;0.0966;0.1576;0.2005;0.2013;0.1560;0.0952;0.0468
B28,M27204,376,A035,410,8.5,5,11,0.0664;0.1348;0.2033;0.2315;0.1902;0.1180;0.0558
B29,A035,380,M27204,414,8.5,2,6,0.1278;0.2349;0.2863;0.2278;0.1232
B30,M27204,384,A035,418,8.5,2,7,0.1095;0.2129;0.2755;0.2274;0.1264;0.0483
B31,A035,388,M27204,422,8.5,2,7,0.0843;0.1701;0.2416;0.2447;0.1716;0.0877
B32,M27204,392,A035,426,8.5,2,7,0.0642;0.1537;0.2461;0.2635;0.1847;0.0878
B33,A035,396,M27204,430,8.5,2,7,0.0564;0.1439;0.2413;0.2689;0.1950;0.0945
B34,M27204,400,A035,434,8.5,1,7,0.0478;0.1202;0.2072;0.2495;0.2054;0.1200;0.0499
B35,A035,404,M27204,438,8.5,2,7,0.0719;0.1761;0.2699;0.2626;0.1576;0.0619
B36,M27204,408,A035,442,8.5,3,11,0.0470;0.0849;0.1307;0.1649;0.1797;0.1590;0.1183;0.0745;0.0410
B37,A035,412,M27204,446,8.5,1,7,0.0460;0.1148;0.1995;0.2449;0.2109;0.1277;0.0562
B38,M27204,416,A035,450,8.5,2,7,0.0856;0.1936;0.2761;0.2500;0.1411;0.0536
B39,A035,420,M27204,454,8.5,3,8,0.0857;0.1787;0.2518;0.2468;0.1620;0.0750
B40,M27204,424,A035,458,8.5,1,8,0.0513;0.1021;0.1613;0.2010;0.1973;0.1509;0.0913;0.0448
B41,A035,428,M27204,462,8.5,1,7,0.0600;0.1251;0.1963;0.2311;0.1979;0.1274;0.0622
B42,M27204,432,A035,466,8.5,3,7,0.1224;0.2302;0.2885;0.2321;0.1268
B43,A035,436,M27204,470,8.5,1,7,0.0509;0.1227;0.2070;0.2457;0.2032;0.1197;0.0508
B44,M27204,440,A035,474,8.5,2,7,0.0675;0.1445;0.2255;0.2533;0.1976;0.1116
B45,A035,444,M27204,478,8.5,2,6,0.1189;0.2292;0.2925;0.2343;0.1251
B46,M27204,448,A035,482,8.5,1,7,0.0591;0.1280;0.2026;0.2363;0.1969;0.1213;0.0558
B47,A035,452,M27204,486,8.5,2,8,0.0688;0.1244;0.1811;0.2100;0.1933;0.1395;0.0829
B48,M27204,456,A035,490,8.5,2,8,0.0900;0.1511;0.1999;0.2116;0.1733;0.1134;0.0607
B49,A035,460,M27204,494,8.5,2,7,0.0724;0.1530;0.2318;0.2514;0.1889;0.1025
