trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,243,A035,277,8.5,2,7,0.0951;0.1764;0.2374;0.2360;0.1663;0.0888
B1,A035,248,M27204,282,8.5,1,7,0.0517;0.1137;0.1871;0.2284;0.2082;0.1394;0.0715
B2,M27204,253,A035,287,8.5,2,7,0.1089;0.1940;0.2510;0.2284;0.1472;0.0705
B3,A035,258,M27204,292,8.5,2,7,0.0900;0.1654;0.2281;0.2352;0.1785;0.1028
B4,M27204,263,A035,297,8.5,3,8,0.0931;0.1765;0.2401;0.2384;0.1659;0.0860
B5,A035,268,M27204,302,8.5,2,6,0.1031;0.2370;0.3162;0.2382;0.1055
B6,M27204,273,A035,307,8.5,1,7,0.0486;0.1135;0.1914;0.2356;0.2096;0.1358;0.0655
B7,A035,278,M27204,312,8.5,1,7,0.0589;0.1282;0.2034;0.2369;0.1971;0.1205;0.0550
B8,M27204,283,A035,317,8.5,2,7,0.0735;0.1687;0.2550;0.2579;0.1696;0.0753
B9,A035,288,M27204,322,8.5,2,8,0.0720;0.1308;0.1866;0.2136;0.1892;0.1324;0.0754
B10,M27204,293,A035,327,8.5,2,8,0.0791;0.1402;0.1945;0.2155;0.1822;0.1222;0.0663
B11,A035,298,M27204,332,8.5,2,7,0.0832;0.1966;0.2830;0.2518;0.1369;0.0485
B12,M27204,302,A035,336,8.5,2,8,0.0627;0.1217;0.1855;0.2182;0.1978;0.1376;0.0765
B13,A035,306,M27204,340,8.5,2,9,0.0696;0.1159;0.1608;0.1857;0.1788;0.1410;0.0945;0.0537
B14,M27204,310,A035,344,8.5,2,7,0.1001;0.1866;0.2493;0.2349;0.1547;0.0744
B15,A035,314,M27204,348,8.5,2,8,0.0957;0.1594;0.2085;0.2130;0.1673;0.1038;0.0523
B16,M27204,318,A035,352,8.5,1,7,0.0709;0.1290;0.1854;0.2127;0.1903;0.1348;0.0769
B17,A035,322,M27204,356,8.5,1,7,0.0596;0.1184;0.1854;0.2208;0.2009;0.1391;0.0758
B18,M27204,326,A035,360,8.5,1,7,0.0538;0.1131;0.1835;0.2237;0.2071;0.1421;0.0767
B19,A035,330,M27204,364,8.5,1,8,0.0563;0.1071;0.1644;0.1995;0.1928;0.1465;0.0889;0.0445
B20,M27204,334,A035,368,8.5,3,8,0.0644;0.1483;0.2366;0.2598;0.1922;0.0987
B21,A035,338,M27204,372,8.5,1,8,0.0532;0.1045;0.1636;0.2013;0.1959;0.1484;0.0892;0.0439
B22,M27204,342,A035,376,8.5,1,7,0.0515;0.1112;0.1815;0.2242;0.2092;0.1446;0.0778
B23,A035,346,M27204,380,8.5,1,8,0.0457;0.0956;0.1558;0.1987;0.2006;0.1568;0.0979;0.0489
B24,M27204,350,A035,384,8.5,2,7,0.0962;0.1734;0.2315;0.2329;0.1704;0.0956
B25,A035,354,M27204,388,8.5,2,7,0.0744;0.1815;0.2732;0.2600;0.1526;0.0583
B26,M27204,358,A035,392,8.5,2,8,0.0491;0.1127;0.1893;0.2329;0.2101;0.1380;0.0679
B27,A035,362,M27204,396,8.5,2,7,0.0934;0.1763;0.2393;0.2378;0.1663;0.0869
B28,M27204,366,A035,400,8.5,2,8,0.0851;0.1369;0.1816;0.2019;0.1800;0.1324;0.0821
B29,A035,370,M27204,404,8.5,2,6,0.1224;0.2364;0.2939;0.2295;0.1178
B30,M27204,374,A035,408,8.5,1,7,0.0679;0.1261;0.1854;0.2141;0.1928;0.1363;0.0774
B31,A035,378,M27204,412,8.5,1,7,0.0605;0.1170;0.1818;0.2165;0.2013;0.1421;0.0808
B32,M27204,382,A035,416,8.5,1,8,0.0564;0.1099;0.1701;0.2044;0.1947;0.1426;0.0827;0.0392
B33,A035,386,M27204,420,8.5,2,6,0.1045;0.2144;0.2915;0.2493;0.1403
B34,M27204,390,A035,424,8.5,1,8,0.0445;0.0940;0.1538;0.1976;0.2011;0.1586;0.0999;0.0505
B35,A035,394,M27204,428,8.5,2,8,0.0740;0.1330;0.1881;0.2131;0.1871;0.1303;0.0744
B36,M27204,398,A035,432,8.5,2,7,0.1180;0.2061;0.2550;0.2218;0.1363;0.0628
B37,A035,402,M27204,436,8.5,2,8,0.0980;0.1634;0.2128;0.2146;0.1647;0.0980;0.0485
B38,M27204,406,A035,440,8.5,2,7,0.1025;0.1932;0.2567;0.2342;0.1470;0.0664
B39,A035,410,M27204,444,8.5,2,6,0.0978;0.2255;0.3108;0.2472;0.1187
B40,M27204,414,A035,448,8.5,1,8,0.0430;0.0862;0.1386;0.1814;0.1968;0.1677;0.1177;0.0686
B41,A035,418,M27204,452,8.5,3,9,0.0615;0.1263;0.1966;0.2301;0.1964;0.1266;0.0625
B42,M27204,423,A035,457,8.5,2,6,0.1192;0.2390;0.3001;0.2298;0.1119
B43,A035,428,M27204,462,8.5,2,7,0.1020;0.1960;0.2613;0.2349;0.1431;0.0627
B44,M27204,433,A035,467,8.5,2,7,0.0573;0.1400;0.2324;0.2650;0.2005;0.1048
B45,A035,438,M27204,472,8.5,1,8,0.0470;0.0968;0.1567;0.1983;0.1997;0.1556;0.0972;0.0487
B46,M27204,443,A035,477,8.5,2,7,0.1069;0.2028;0.2649;0.2309;0.1367;0.0578
B47,A035,448,M27204,482,8.5,2,7,0.0950;0.1999;0.2738;0.2406;0.1371;0.0536
B48,M27204,453,A035,487,8.5,1,8,0.0577;0.1092;0.1658;0.1988;0.1915;0.1450;0.0879;0.0441
B49,A035,458,M27204,492,8.5,1,8,0.0420;0.0948;0.1594;0.2065;0.2068;0.1568;0.0912;0.0425
B50,M27204,463,A035,497,8.5,2,7,0.0996;0.1778;0.2360;0.2323;0.1644;0.0899
B51,A035,468,M27204,502,8.5,2,7,0.0772;0.1804;0.2670;0.2566;0.1559;0.0629
B52,M27204,473,A035,507,8.5,2,6,0.0947;0.2170;0.3041;0.2534;0.1308
B53,A035,478,M27204,512,8.5,1,8,0.0499;0.0946;0.1499;0.1890;0.1937;0.1587;0.1058;0.0584
B54,M27204,483,A035,517,8.5,2,7,0.1001;0.1918;0.2565;0.2358;0.1486;0.0672
B55,A035,488,M27204,522,8.5,2,6,0.1155;0.2285;0.2939;0.2367;0.1254
B56,M27204,493,A035,527,8.5,2,7,0.0583;0.1474;0.2451;0.2692;0.1903;0.0897
B57,A035,498,M27204,532,8.5,1,7,0.0603;0.1265;0.1985;0.2327;0.1972;0.1249;0.0599
B58,M27204,503,A035,537,8.5,3,9,0.0661;0.1380;0.2094;0.2363;0.1880;0.1122;0.0500
B59,A035,508,M27204,542,8.5,2,8,0.0923;0.1514;0.1982;0.2089;0.1724;0.1143;0.0625
B60,M27204,513,A035,547,8.5,1,7,0.0528;0.1241;0.2062;0.2439;0.2015;0.1198;0.0517
B61,A035,518,M27204,552,8.5,2,7,0.1104;0.1855;0.2365;0.2247;0.1570;0.0859
B62,M27204,523,A035,557,8.5,2,9,0.0525;0.0980;0.1526;0.1899;0.1923;0.1552;0.1034;0.0561
B63,A035,528,M27204,562,8.5,2,9,0.0460;0.0911;0.1450;0.1860;0.1958;0.1627;0.1110;0.0624
B64,M27204,533,A035,567,8.5,2,7,0.0696;0.1631;0.2538;0.2601;0.1743;0.0791
B65,A035,538,M27204,572,8.5,1,8,0.0436;0.0948;0.1569;0.2019;0.2038;0.1577;0.0953;0.0460
B66,M27204,542,A035,576,8.5,2,9,0.0662;0.1151;0.1645;0.1914;0.1831;0.1411;0.0898;0.0488
B67,A035,546,M27204,580,8.5,2,7,0.0645;0.1462;0.2326;0.2582;0.1948;0.1037
B68,M27204,550,A035,584,8.5,1,7,0.0673;0.1278;0.1889;0.2179;0.1930;0.1323;0.0728
B69,A035,554,M27204,588,8.5,2,8,0.0694;0.1279;0.1858;0.2142;0.1916;0.1345;0.0766
