trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,244,A035,278,8.5,2,7,0.0654;0.1513;0.2394;0.2602;0.1888;0.0949
B1,A035,252,M27204,286,8.5,2,7,0.0545;0.1588;0.2716;0.2798;0.1709;0.0644
B2,M27204,260,A035,294,8.5,2,8,0.0904;0.1469;0.1917;0.2071;0.1744;0.1204;0.0691
B3,A035,268,M27204,302,8.5,1,8,0.0551;0.1056;0.1635;0.1999;0.1940;0.1475;0.0896;0.0448
B4,M27204,276,A035,310,8.5,3,11,0.0429;0.0747;0.1116;0.1468;0.1651;0.1623;0.1357;0.0981;0.0628
B5,A035,284,M27204,318,8.5,2,9,0.0609;0.1037;0.1495;0.1810;0.1825;0.1519;0.1068;0.0637
B6,M27204,292,A035,326,8.5,2,8,0.0760;0.1470;0.2106;0.2285;0.1799;0.1079;0.0501
B7,A035,300,M27204,334,8.5,2,8,0.0698;0.1255;0.1818;0.2103;0.1923;0.1382;0.0821
B8,M27204,307,A035,341,8.5,2,8,0.0660;0.1206;0.1778;0.2089;0.1965;0.1436;0.0866
B9,A035,314,M27204,348,8.5,2,6,0.1209;0.2407;0.2997;0.2286;0.1101
B10,M27204,321,A035,355,8.5,2,7,0.0932;0.1713;0.2320;0.2351;0.1722;0.0962
B11,A035,328,M27204,362,8.5,2,7,0.0940;0.1803;0.2454;0.2386;0.1613;0.0804
B12,M27204,335,A035,369,8.5,2,7,0.0968;0.1862;0.2510;0.2374;0.1551;0.0735
B13,A035,342,M27204,376,8.5,4,11,0.0678;0.1091;0.1496;0.1757;0.1765;0.1483;0.1060;0.0670
B14,M27204,349,A035,383,8.5,1,7,0.0707;0.1304;0.1889;0.2161;0.1901;0.1309;0.0729
B15,A035,356,M27204,390,8.5,2,9,0.0534;0.1008;0.1557;0.1935;0.1930;0.1527;0.0985;0.0524
B16,M27204,363,A035,397,8.5,2,8,0.0900;0.1600;0.2162;0.2208;0.1691;0.0979;0.0460
B17,A035,370,M27204,404,8.5,2,8,0.0813;0.1362;0.1861;0.2080;0.1818;0.1298;0.0768
B18,M27204,377,A035,411,8.5,2,7,0.1022;0.1971;0.2621;0.2349;0.1421;0.0616
B19,A035,384,M27204,418,8.5,3,8,0.0844;0.1698;0.2410;0.2444;0.1717;0.0887
B20,M27204,391,A035,425,8.5,1,8,0.0433;0.0970;0.1630;0.2088;0.2064;0.1533;0.0882;0.0400
B21,A035,398,M27204,432,8.5,1,7,0.0539;0.1224;0.2017;0.2396;0.2018;0.1242;0.0564
B22,M27204,405,A035,439,8.5,1,7,0.0645;0.1233;0.1848;0.2165;0.1961;0.1376;0.0772
B23,A035,412,M27204,446,8.5,2,7,0.1109;0.2040;0.2614;0.2275;0.1365;0.0597
B24,M27204,419,A035,453,8.5,1,7,0.0473;0.1174;0.2025;0.2464;0.2077;0.1248;0.0539
B25,A035,427,M27204,461,8.5,2,7,0.0697;0.1776;0.2754;0.2648;0.1549;0.0576
B26,M27204,435,A035,469,8.5,2,8,0.0653;0.1194;0.1764;0.2082;0.1973;0.1456;0.0878
